,id,country,date,individuals,centroid_lon,centroid_lat,lat_max,lon_max,lan_min,lon_min,source
657,Poland_2022-03-01,Poland,3/1/2022,453982,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,0
658,Hungary_2022-03-01,Hungary,3/1/2022,116348,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,0
659,Republic of Moldova_2022-03-01,Republic of Moldova,3/1/2022,79315,28.4646,47.1976,54.1976,35.4646,40.1976,21.4646,0
660,Other European countries_2022-03-01,Other European countries,3/1/2022,69600,12.99954151,49.28473481,51.31588972,19.8282511,47.36817543,14.69622253,0
661,Slovakia_2022-03-01,Slovakia,3/1/2022,67000,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,0
662,Romania_2022-03-01,Romania,3/1/2022,44540,25.3,45.8667,52.8667,32.3,38.8667,18.3,0
663,Russian Federation_2022-03-01,Russian Federation,3/1/2022,42900,38.15560781,51.48885014,59.0670551,36.95829774,54.99876939,31.66952631,0
664,Belarus_2022-03-01,Belarus,3/1/2022,341,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,0
649,Belarus_2022-03-02,Belarus,3/2/2022,374,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,0
650,Poland_2022-03-02,Poland,3/2/2022,547982,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,0
651,Hungary_2022-03-02,Hungary,3/2/2022,133009,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,0
652,Republic of Moldova_2022-03-02,Republic of Moldova,3/2/2022,97827,28.4646,47.1976,54.1976,35.4646,40.1976,21.4646,0
653,Other European countries_2022-03-02,Other European countries,3/2/2022,88147,12.99954151,49.28473481,51.31588972,19.8282511,47.36817543,14.69622253,0
654,Slovakia_2022-03-02,Slovakia,3/2/2022,79059,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,0
655,Romania_2022-03-02,Romania,3/2/2022,51261,25.3,45.8667,52.8667,32.3,38.8667,18.3,0
656,Russian Federation_2022-03-02,Russian Federation,3/2/2022,47800,38.15560781,51.48885014,59.0670551,36.95829774,54.99876939,31.66952631,0
641,Poland_2022-03-03,Poland,3/3/2022,649903,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,0
642,Hungary_2022-03-03,Hungary,3/3/2022,144738,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,0
643,Other European countries_2022-03-03,Other European countries,3/3/2022,110876,12.99954151,49.28473481,51.31588972,19.8282511,47.36817543,14.69622253,0
644,Republic of Moldova_2022-03-03,Republic of Moldova,3/3/2022,103254,28.4646,47.1976,54.1976,35.4646,40.1976,21.4646,0
645,Slovakia_2022-03-03,Slovakia,3/3/2022,90329,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,0
646,Romania_2022-03-03,Romania,3/3/2022,57192,25.3,45.8667,52.8667,32.3,38.8667,18.3,0
647,Russian Federation_2022-03-03,Russian Federation,3/3/2022,53300,38.15560781,51.48885014,59.0670551,36.95829774,54.99876939,31.66952631,0
648,Belarus_2022-03-03,Belarus,3/3/2022,384,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,0
635,Poland_2022-03-04,Poland,3/4/2022,756303,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,0
636,Hungary_2022-03-04,Hungary,3/4/2022,157004,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,0
637,Other European countries_2022-03-04,Other European countries,3/4/2022,133876,12.99954151,49.28473481,51.31588972,19.8282511,47.36817543,14.69622253,0
638,Slovakia_2022-03-04,Slovakia,3/4/2022,101529,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,0
639,Romania_2022-03-04,Romania,3/4/2022,63192,25.3,45.8667,52.8667,32.3,38.8667,18.3,0
